
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
name,threads,best,median,mean,stddev
"benny",1,0.6834,0.6818,0.6813,0.0012
"benny_popcnt",1,1.3828,1.3809,1.3808,0.0016
"david_a_perez",1,15.4263,15.3519,15.3369,0.0621
"conflict",1,2.1209,2.1207,2.1206,0.0004
"conflict_mc1b",1,2.1209,2.1206,2.1192,0.0083
"conflict_mc2b",1,4.2110,4.2057,4.2056,0.0022
"conflict_mc3b",1,6.1042,6.0598,6.0615,0.0153
"conflict_mc4b",1,7.6998,7.6708,7.6706,0.0118
"conflict_mc5b",1,9.8206,9.7722,9.7735,0.0351
"conflict_mc6b",1,11.2554,11.2427,11.2154,0.0435
"conflict_mc7b",1,12.3455,12.3339,12.3114,0.0438
"conflict_mc8b",1,13.2994,13.2803,13.2602,0.0491
"conflict_mc9b",1,14.1577,14.1486,14.1160,0.0539
"conflict_mc10b",1,14.2751,14.2630,14.2463,0.0287
"conflict_mc11b",1,14.5618,14.5503,14.5257,0.0388
"conflict_mc12b",1,13.3708,13.3395,13.3320,0.0253

> copy(10M, lit(abc)); 30.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,0.6836,0.6814,0.6813,0.0017
"benny_popcnt",1,1.3828,1.3810,1.3808,0.0017
"david_a_perez",1,10.6590,10.6209,10.6043,0.0373
"conflict",1,1.9414,1.9409,1.9408,0.0004
"conflict_mc1b",1,1.9412,1.9408,1.9408,0.0003
"conflict_mc2b",1,3.8542,3.8516,3.8516,0.0016
"conflict_mc3b",1,5.5800,5.5491,5.5487,0.0148
"conflict_mc4b",1,7.0818,7.0561,7.0556,0.0090
"conflict_mc5b",1,9.0172,8.9888,8.9818,0.0256
"conflict_mc6b",1,10.3090,10.2988,10.2787,0.0312
"conflict_mc7b",1,11.3209,11.3066,11.2862,0.0362
"conflict_mc8b",1,12.1827,12.1653,12.1294,0.0546
"conflict_mc9b",1,12.9840,12.9685,12.9508,0.0402
"conflict_mc10b",1,13.0742,13.0560,13.0481,0.0262
"conflict_mc11b",1,13.3524,13.3241,13.3135,0.0349
"conflict_mc12b",1,12.2604,12.2282,12.2183,0.0294

> copy(500M, lit(z)); 500.000MB; no windows present
name,threads,best,median,mean,stddev
"load_64B",1,52.7333,52.5522,52.5298,0.2350
"load_64B",2,58.3226,58.1562,58.1100,0.1551
"load_64B",4,58.4771,58.1028,58.1157,0.1706
"load_64B",6,57.9041,57.7553,57.7621,0.0642
"load_64B",8,57.7693,57.6582,57.6408,0.1170
"load_64B",16,57.4599,57.3441,57.3155,0.1259
"loadgather_4Bx16",1,17.0591,16.8079,16.8214,0.0998
"loadgather_4Bx16",2,29.6420,28.8483,28.6880,0.5499
"loadgather_4Bx16",4,49.0339,46.7721,46.9200,1.1730
"loadgather_4Bx16",6,47.9862,39.4715,39.0058,3.5284
"loadgather_4Bx16",8,45.1774,43.0155,42.9622,1.4231
"loadgather_4Bx16",16,43.1503,41.9693,41.9406,0.5386
"loadgather_8Bx8",1,33.8108,33.4371,33.4340,0.1861
"loadgather_8Bx8",2,55.9706,45.4684,46.6082,6.7812
"loadgather_8Bx8",4,48.4639,42.7420,42.2357,3.5374
"loadgather_8Bx8",6,44.0013,43.3466,43.4092,0.2756
"loadgather_8Bx8",8,50.1312,49.6253,49.6788,0.2016
"loadgather_8Bx8",16,51.8439,51.2341,51.1127,0.5267
"load_16B",1,49.3374,49.1582,49.1076,0.1947
"load_16B",2,58.1276,57.7420,57.4663,0.9030
"load_16B",4,59.1244,58.3116,58.3907,0.3711
"load_16B",6,57.8559,57.6870,57.6686,0.1462
"load_16B",8,58.1454,57.6747,57.4913,0.7578
"load_16B",16,58.8438,58.5636,58.3273,0.5406
"load_8B",1,37.9891,37.8471,37.8333,0.1329
"load_8B",2,58.1938,57.2243,57.2910,0.5428
"load_8B",4,59.1324,58.8413,58.7298,0.3300
"load_8B",6,58.0929,57.5545,57.5338,0.2472
"load_8B",8,59.1641,58.9800,58.9144,0.4550
"load_8B",16,58.9075,58.7370,58.7497,0.0703
"load_1B",1,5.5038,5.5013,5.4998,0.0058
"load_1B",2,10.8522,10.7312,10.7194,0.0663
"load_1B",4,21.4965,21.0545,21.0558,0.1455
"load_1B",6,31.0728,30.7824,30.0331,2.3267
"load_1B",8,40.8575,40.3228,40.3458,0.1910
"load_1B",16,40.1863,39.9990,39.9931,0.1032

> concat(rng(x, 2345), srand(100M, x)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"load_16B",1,51.6313,51.1242,51.0968,0.2766
"conflict",1,1.4566,1.4564,1.4558,0.0030
"conflict_mc1b",1,1.4566,1.4564,1.4564,0.0001
"conflict_mc2b",1,2.9031,2.9010,2.9009,0.0011
"conflict_mc3b",1,4.1736,4.1645,4.1638,0.0054
"conflict_mc4b",1,5.3526,5.3469,5.3469,0.0021
"conflict_mc5b",1,6.4927,6.4830,6.4831,0.0024
"conflict_mc6b",1,7.6962,7.6790,7.6764,0.0129
"conflict_mc7b",1,8.4254,8.4076,8.4020,0.0205
"conflict_mc8b",1,9.0903,9.0716,9.0633,0.0275
"conflict_mc9b",1,9.6342,9.6083,9.6101,0.0127
"conflict_mc10b",1,9.7383,9.7153,9.7106,0.0203
"conflict_mc11b",1,9.9031,9.8790,9.8687,0.0262
"conflict_mc12b",1,9.1365,9.1205,9.1196,0.0105

> copy(100M, lit(a)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,11.6086,11.5207,11.5214,0.0530
"gather_avx512_nopre",1,6.3226,6.3014,6.3019,0.0081

> concat(rng(x, 3456), drand(5k, 5k, x)); 25.070MB; first window at 0.01994415636218588%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,0.7173,0.7141,0.7089,0.0227
"gather_avx512_chunks",1,2.4817,2.4695,2.4695,0.0066
"gather_avx512_nopre",1,0.3719,0.3711,0.3698,0.0064
"gather_avx2",1,0.8085,0.8047,0.8053,0.0014
"gather_avx2_chnk",1,2.0296,2.0222,2.0255,0.0048
"gather_avx2_few_regs",1,0.8138,0.8125,0.8106,0.0097
"gather_avx2_few_chnk",1,1.4705,1.4701,1.4688,0.0021

> concat(rng(x, 3456), drand(50k, 500, x)); 25.007MB; first window at 0.19994401567561085%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,1.7818,1.7760,1.7662,0.0384
"gather_avx512_chunks",1,8.2394,8.1734,8.1814,0.0199
"gather_avx512_nopre",1,0.9598,0.9572,0.9560,0.0067
"gather_avx2",1,0.7370,0.7363,0.7347,0.0049
"gather_avx2_chnk",1,3.2582,3.2497,3.2342,0.0514
"gather_avx2_few_regs",1,0.8210,0.8190,0.8178,0.0055
"gather_avx2_few_chnk",1,3.8593,3.8442,3.8442,0.0062

> concat(rng(x, 3456), drand(500k, 50, x)); 25.001MB; first window at 1.9999440015679562%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,3.2577,3.2516,3.2396,0.0233
"gather_avx512_chunks",1,10.8559,10.7578,10.7012,0.1971
"gather_avx512_nopre",1,1.6771,1.6715,1.6687,0.0068
"gather_avx2",1,1.3609,1.3511,1.3519,0.0084
"gather_avx2_chnk",1,5.5398,5.5184,5.4974,0.0706
"gather_avx2_few_regs",1,1.4609,1.4505,1.4505,0.0102
"gather_avx2_few_chnk",1,5.9070,5.8958,5.8872,0.0326

> concat(rng(x, 3456), drand(5000k, 5, x)); 25.000MB; first window at 19.9999440001568%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,6.6882,6.6645,6.6609,0.0227
"gather_avx512_chunks",1,11.3671,11.3079,11.3030,0.0696
"gather_avx512_nopre",1,3.2525,3.2463,3.2480,0.0030
"gather_avx2",1,2.9325,2.9259,2.9263,0.0027
"gather_avx2_chnk",1,5.5737,5.5533,5.5550,0.0061
"gather_avx2_few_regs",1,3.2860,3.2766,3.2700,0.0141
"gather_avx2_few_chnk",1,6.2598,6.2373,6.2222,0.0309

> copy(100M, lit(a)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"gather_avx2",1,6.0492,6.0207,6.0198,0.0137
"gather_avx2_chnk",1,5.4697,5.4563,5.4528,0.0139
"gather_avx2_few_regs",1,6.5319,6.4989,6.5000,0.0150
"gather_avx2_few_chnk",1,6.2460,6.2314,6.2286,0.0125

> concat(rng(x, 678), rep(30M, srand(uniform(1,7,x), x))); 104.995MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,3.7279,3.7232,3.7215,0.0049
"benny",1,0.6831,0.6821,0.6820,0.0006

> concat(rng(x, 678), rep(30M, srand(uniform(2,6,x), x))); 105.003MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,4.9212,4.9114,4.9107,0.0075
"benny",1,0.6831,0.6822,0.6822,0.0006

