
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"benny",1,1.3774,1.3769,1.3767,0.0005
"david_a_perez",1,7.3179,7.3142,7.3129,0.0045

> concat(rng(x, 3456), srand(600M, x), lit(qwertyuiopasdfgh)); 600.000MB; first window at 99.9999973333334%
name,threads,best,median,mean,stddev
"benny",1,1.3779,1.3776,1.3775,0.0003
"david_a_perez",1,1.4021,1.4019,1.4018,0.0005

> copy(400M, lit(c)); 400.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3789,1.3784,1.3784,0.0003
"benny",2,2.7408,2.7292,2.7283,0.0087
"benny",4,5.4509,5.3865,5.4027,0.0334
"benny",6,8.1216,8.0483,8.0314,0.0535
"benny",8,10.7430,10.7265,10.7259,0.0131
"benny",16,20.2689,20.2200,20.2193,0.0256
"benny_popcnt",1,1.3816,1.3808,1.3807,0.0006
"benny_popcnt",2,2.7404,2.7295,2.7301,0.0037
"benny_popcnt",4,5.4511,5.4189,5.4040,0.0333
"benny_popcnt",6,8.0646,7.9824,7.9778,0.0465
"benny_popcnt",8,10.7425,10.5999,10.6206,0.0553
"benny_popcnt",16,20.3265,20.2136,20.2170,0.0481
"benny_alt",1,1.3363,1.3355,1.3351,0.0009
"benny_alt",2,2.6483,2.6385,2.6388,0.0028
"benny_alt",4,5.2407,5.1864,5.1773,0.0336
"benny_alt",6,7.7254,7.6415,7.6454,0.0440
"benny_alt",8,10.0746,10.0074,10.0228,0.0341
"benny_alt",16,10.3533,10.3300,10.3292,0.0113
"benny_x2",1,2.7629,2.7614,2.7612,0.0012
"benny_x2",2,5.4749,5.4315,5.4299,0.0154
"benny_x2",4,10.7371,10.6325,10.6267,0.0521
"benny_x2",6,15.8490,15.7027,15.6943,0.0859
"benny_x2",8,20.6214,20.5296,20.5347,0.0460
"benny_x2",16,20.5561,20.4865,20.4293,0.2621

> copy(3M, lit(abcdefghijklm)); 39.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3831,1.3813,1.3810,0.0016
"benny_popcnt",1,1.3831,1.3807,1.3803,0.0020
"david_a_perez",1,0.2697,0.2695,0.2694,0.0001
"conflict",1,0.1766,0.1766,0.1766,0.0001
"conflict_mc1b",1,0.1766,0.1766,0.1766,0.0001
"conflict_mc2b",1,0.3497,0.3496,0.3496,0.0005
"conflict_mc3b",1,0.5090,0.5078,0.5077,0.0007
"conflict_mc4b",1,0.6487,0.6481,0.6482,0.0003
"conflict_mc5b",1,0.7975,0.7916,0.7919,0.0011
"conflict_mc6b",1,0.9394,0.9384,0.9382,0.0011
"conflict_mc7b",1,1.0299,1.0287,1.0287,0.0008
"conflict_mc8b",1,1.1097,1.1085,1.1085,0.0010
"conflict_mc9b",1,1.1807,1.1793,1.1792,0.0011
"conflict_mc10b",1,1.1924,1.1914,1.1913,0.0009
"conflict_mc11b",1,1.2185,1.2175,1.2175,0.0006
"conflict_mc12b",1,1.1189,1.1182,1.1181,0.0007

> copy(3M, lit(abcdefghijk)); 33.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3830,1.3812,1.3809,0.0016
"benny_popcnt",1,1.3828,1.3808,1.3803,0.0020
"david_a_perez",1,0.9868,0.9858,0.9856,0.0010
"conflict",1,0.5297,0.5296,0.5296,0.0000
"conflict_mc1b",1,0.5296,0.5296,0.5295,0.0007
"conflict_mc2b",1,1.0557,1.0547,1.0547,0.0005
"conflict_mc3b",1,1.5238,1.5153,1.5152,0.0034
"conflict_mc4b",1,1.9837,1.9747,1.9747,0.0031
"conflict_mc5b",1,2.4507,2.3672,2.3731,0.0203
"conflict_mc6b",1,2.8186,2.8117,2.8109,0.0053
"conflict_mc7b",1,3.0925,3.0854,3.0832,0.0084
"conflict_mc8b",1,3.3322,3.3243,3.3234,0.0064
"conflict_mc9b",1,3.5466,3.5359,3.5316,0.0109
"conflict_mc10b",1,3.5708,3.5648,3.5647,0.0046
"conflict_mc11b",1,3.6588,3.6524,3.6515,0.0054
"conflict_mc12b",1,3.3574,3.3510,3.3511,0.0035

> copy(3M, lit(abcdefghi)); 27.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3828,1.3810,1.3807,0.0021
"benny_popcnt",1,1.3828,1.3808,1.3807,0.0019
"david_a_perez",1,1.9628,1.9592,1.9574,0.0046
"conflict",1,0.8826,0.8825,0.8825,0.0001
"conflict_mc1b",1,0.8826,0.8825,0.8825,0.0001
"conflict_mc2b",1,1.7563,1.7539,1.7540,0.0010
"conflict_mc3b",1,2.5506,2.5257,2.5259,0.0073
"conflict_mc4b",1,3.2453,3.2337,3.2348,0.0049
"conflict_mc5b",1,4.0890,4.0780,4.0782,0.0087
"conflict_mc6b",1,4.6879,4.6804,4.6775,0.0094
"conflict_mc7b",1,5.1503,5.1363,5.1319,0.0185
"conflict_mc8b",1,5.5416,5.5310,5.5288,0.0116
"conflict_mc9b",1,5.9091,5.8923,5.8937,0.0133
"conflict_mc10b",1,5.9551,5.9429,5.9429,0.0094
"conflict_mc11b",1,6.0981,6.0818,6.0810,0.0139
"conflict_mc12b",1,5.5919,5.5805,5.5787,0.0076

> copy(30M, lit(a)); 30.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3828,1.3812,1.3809,0.0017
"benny_popcnt",1,1.3827,1.3812,1.3808,0.0019
"david_a_perez",1,25.3687,25.2928,25.2711,0.0797
"conflict",1,2.2942,2.2937,2.2936,0.0003
"conflict_mc1b",1,2.2940,2.2937,2.2936,0.0003
"conflict_mc2b",1,4.5519,4.5487,4.5487,0.0018
"conflict_mc3b",1,6.5919,6.5583,6.5598,0.0140
"conflict_mc4b",1,8.3879,8.3548,8.3572,0.0125
"conflict_mc5b",1,10.6462,10.6275,10.6154,0.0284
"conflict_mc6b",1,12.1663,12.1481,12.1177,0.0501
"conflict_mc7b",1,13.3696,13.3565,13.3298,0.0502
"conflict_mc8b",1,14.3758,14.3663,14.3227,0.0659
"conflict_mc9b",1,15.3064,15.2971,15.2640,0.0588
"conflict_mc10b",1,15.4446,15.4067,15.3884,0.0405
"conflict_mc11b",1,15.7815,15.7459,15.7278,0.0353
"conflict_mc12b",1,14.4553,14.4134,14.4089,0.0319

> copy(15M, lit(ab)); 30.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3827,1.3810,1.3808,0.0016
"benny_popcnt",1,1.3828,1.3811,1.3808,0.0015
"david_a_perez",1,15.5523,15.5185,15.4955,0.0491
"conflict",1,2.1209,2.1206,2.1204,0.0005
"conflict_mc1b",1,2.1208,2.1205,2.1204,0.0004
"conflict_mc2b",1,4.2107,4.2075,4.2069,0.0020
"conflict_mc3b",1,6.0994,6.0640,6.0646,0.0166
"conflict_mc4b",1,7.7028,7.6781,7.6786,0.0124
"conflict_mc5b",1,9.8132,9.7864,9.7729,0.0325
"conflict_mc6b",1,11.2482,11.2347,11.2133,0.0364
"conflict_mc7b",1,12.3443,12.3301,12.3162,0.0354
"conflict_mc8b",1,13.2940,13.2723,13.2361,0.0571
"conflict_mc9b",1,14.1381,14.1295,14.1079,0.0429
"conflict_mc10b",1,14.2842,14.2581,14.2427,0.0339
"conflict_mc11b",1,14.5631,14.5544,14.5366,0.0304
"conflict_mc12b",1,13.3678,13.3303,13.3269,0.0244

> copy(10M, lit(abc)); 30.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3828,1.3807,1.3805,0.0020
"benny_popcnt",1,1.3828,1.3808,1.3805,0.0018
"david_a_perez",1,10.6418,10.6314,10.6122,0.0341
"conflict",1,1.9413,1.9408,1.9408,0.0003
"conflict_mc1b",1,1.9413,1.9408,1.9408,0.0003
"conflict_mc2b",1,3.8552,3.8530,3.8530,0.0012
"conflict_mc3b",1,5.6000,5.5595,5.5594,0.0174
"conflict_mc4b",1,7.0884,7.0623,7.0606,0.0106
"conflict_mc5b",1,9.0112,8.9973,8.9790,0.0326
"conflict_mc6b",1,10.3016,10.2955,10.2766,0.0332
"conflict_mc7b",1,11.3187,11.3078,11.2861,0.0450
"conflict_mc8b",1,12.1775,12.1601,12.1354,0.0441
"conflict_mc9b",1,12.9657,12.9565,12.9388,0.0385
"conflict_mc10b",1,13.0670,13.0486,13.0418,0.0269
"conflict_mc11b",1,13.3574,13.3187,13.3174,0.0311
"conflict_mc12b",1,12.2500,12.2192,12.2076,0.0326

> copy(500M, lit(z)); 500.000MB; no windows present
name,threads,best,median,mean,stddev
"load_64B",1,52.7475,52.6050,52.5613,0.2271
"load_64B",2,58.2635,58.0034,57.9738,0.1862
"load_64B",4,58.5051,58.0883,58.0889,0.2179
"load_64B",6,57.9166,57.7682,57.7640,0.0666
"load_64B",8,57.8070,57.6951,57.6941,0.0549
"load_64B",16,57.4531,57.3549,57.3388,0.0648
"loadgather_4Bx16",1,16.9868,16.7615,16.7704,0.0836
"loadgather_4Bx16",2,29.8596,28.8571,28.7142,0.5684
"loadgather_4Bx16",4,49.1669,46.8475,46.4562,1.8630
"loadgather_4Bx16",6,41.3685,35.8648,36.6697,2.0908
"loadgather_4Bx16",8,44.0072,43.0570,43.0901,0.2882
"loadgather_4Bx16",16,43.0550,42.1471,42.1855,0.2206
