
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
name,threads,best,median,mean,stddev
"benny",1,1.3828,1.3809,1.3803,0.0027
"benny_popcnt",1,1.3829,1.3810,1.3806,0.0020
"david_a_perez",1,15.5154,15.4932,15.4663,0.0558
"conflict",1,2.1213,2.1212,2.1210,0.0004
"conflict_mc1b",1,2.1213,2.1211,2.1210,0.0003
"conflict_mc2b",1,4.1822,4.1787,4.1787,0.0012
"conflict_mc3b",1,6.0498,6.0392,6.0394,0.0044
"conflict_mc4b",1,7.5941,7.5852,7.5853,0.0038
"conflict_mc5b",1,9.6490,9.6376,9.6210,0.0323
"conflict_mc6b",1,11.1765,11.1645,11.1520,0.0286
"conflict_mc7b",1,12.4074,12.3944,12.3673,0.0497
"conflict_mc8b",1,13.4445,13.4270,13.4042,0.0480
"conflict_mc9b",1,14.2989,14.2070,14.2135,0.0705
"conflict_mc10b",1,14.6571,14.6492,14.6216,0.0486
"conflict_mc11b",1,14.5230,14.4443,14.4480,0.0272
"conflict_mc12b",1,14.2424,14.1948,14.1810,0.0391

> copy(10M, lit(abc)); 30.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3829,1.3810,1.3809,0.0016
"benny_popcnt",1,1.3829,1.3814,1.3811,0.0016
"david_a_perez",1,11.0068,10.9924,10.9748,0.0319
"conflict",1,1.9416,1.9413,1.9413,0.0002
"conflict_mc1b",1,1.9417,1.9413,1.9413,0.0003
"conflict_mc2b",1,3.8304,3.8263,3.8262,0.0014
"conflict_mc3b",1,5.5351,5.5258,5.5263,0.0045
"conflict_mc4b",1,6.9616,6.9543,6.9541,0.0047
"conflict_mc5b",1,8.8383,8.8290,8.8150,0.0265
"conflict_mc6b",1,10.2299,10.2267,10.2042,0.0358
"conflict_mc7b",1,11.3765,11.3654,11.3439,0.0409
"conflict_mc8b",1,12.3208,12.3037,12.2838,0.0385
"conflict_mc9b",1,13.1161,13.0976,13.0560,0.0610
"conflict_mc10b",1,13.4352,13.4176,13.3884,0.0567
"conflict_mc11b",1,13.3246,13.2577,13.2516,0.0365
"conflict_mc12b",1,13.0396,12.9949,12.9857,0.0326

> copy(500M, lit(z)); 500.000MB; no windows present
name,threads,best,median,mean,stddev
"load_64B",1,52.7532,52.5505,52.5441,0.0978
"load_64B",2,58.4263,58.2902,58.2356,0.3335
"load_64B",4,58.5688,58.2933,58.2673,0.1624
"load_64B",6,58.0934,57.7746,57.6418,0.5984
"load_64B",8,57.7547,57.6261,57.6393,0.0585
"load_64B",16,57.4916,57.3547,57.3424,0.0922
"loadgather_4Bx16",1,16.7907,16.5942,16.6036,0.0764
"loadgather_4Bx16",2,30.0238,29.2437,29.2648,0.3759
"loadgather_4Bx16",4,49.4935,46.6435,46.3751,2.0695
"loadgather_4Bx16",6,41.3775,36.5867,37.5129,2.0616
"loadgather_4Bx16",8,43.4240,42.9373,42.9269,0.2757
"loadgather_4Bx16",16,42.4573,42.0885,42.0294,0.3464
"loadgather_8Bx8",1,33.8937,33.5408,33.5182,0.2325
"loadgather_8Bx8",2,56.1173,54.7025,49.3303,6.5101
"loadgather_8Bx8",4,49.6702,42.4288,41.9587,3.1314
"loadgather_8Bx8",6,44.2076,43.6077,43.6270,0.2649
"loadgather_8Bx8",8,51.1598,49.5698,49.2773,1.1201
