
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"benny",1,1.3777,1.3773,1.3773,0.0002
"david_a_perez",1,7.4250,7.4223,7.4221,0.0013

> concat(rng(x, 3456), srand(600M, x), lit(qwertyuiopasdfgh)); 600.000MB; first window at 99.9999973333334%
name,threads,best,median,mean,stddev
"benny",1,1.3772,1.3768,1.3768,0.0002
"david_a_perez",1,1.0568,1.0565,1.0565,0.0001

> copy(400M, lit(c)); 400.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3782,1.3774,1.3773,0.0007
"benny",2,2.7347,2.7297,2.7295,0.0019
"benny",4,5.4569,5.3838,5.4014,0.0329
"benny",6,8.0786,8.0136,8.0076,0.0427
"benny",8,10.6116,10.5883,10.5891,0.0099
"benny",16,20.2512,20.1951,20.1996,0.0337
"benny_popcnt",1,1.3814,1.3808,1.3807,0.0005
"benny_popcnt",2,2.7348,2.7296,2.7285,0.0070
"benny_popcnt",4,5.4504,5.3860,5.4024,0.0319
"benny_popcnt",6,8.0880,8.0072,7.9967,0.0487
"benny_popcnt",8,10.6205,10.5929,10.5916,0.0109
"benny_popcnt",16,20.3092,20.2040,20.2117,0.0624
"benny_alt",1,1.3815,1.3809,1.3808,0.0004
"benny_alt",2,2.7341,2.7285,2.7282,0.0030
"benny_alt",4,5.4075,5.3668,5.3550,0.0365
"benny_alt",6,8.0122,7.9108,7.9055,0.0836
"benny_alt",8,10.4398,10.4224,10.4241,0.0086
"benny_alt",16,11.1941,11.1172,11.1148,0.0408
"benny_x2",1,2.7424,2.7421,2.7418,0.0009
"benny_x2",2,5.4576,5.4317,5.4331,0.0157
"benny_x2",4,10.7543,10.6486,10.6372,0.0712
"benny_x2",6,15.9116,15.7033,15.6900,0.0858
"benny_x2",8,20.5639,20.4877,20.4839,0.0448
"benny_x2",16,20.4769,20.4326,20.4240,0.0732

> copy(3M, lit(abcdefghijklm)); 39.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3831,1.3806,1.3807,0.0015
"benny_popcnt",1,1.3830,1.3808,1.3810,0.0012
"david_a_perez",1,0.2583,0.2581,0.2581,0.0001
"conflict",1,0.1766,0.1766,0.1766,0.0001
"conflict_mc1b",1,0.1766,0.1766,0.1766,0.0001
"conflict_mc2b",1,0.3498,0.3497,0.3497,0.0003
"conflict_mc3b",1,0.5087,0.5066,0.5066,0.0007
"conflict_mc4b",1,0.6496,0.6491,0.6491,0.0002
"conflict_mc5b",1,0.8188,0.8181,0.8179,0.0007
"conflict_mc6b",1,0.9411,0.9393,0.9391,0.0011
"conflict_mc7b",1,1.0463,1.0449,1.0444,0.0015
"conflict_mc8b",1,1.1392,1.1380,1.1381,0.0008
"conflict_mc9b",1,1.1930,1.1907,1.1909,0.0016
"conflict_mc10b",1,1.2464,1.2455,1.2453,0.0010
"conflict_mc11b",1,1.1750,1.1734,1.1732,0.0010
"conflict_mc12b",1,1.1582,1.1575,1.1574,0.0006

> copy(3M, lit(abcdefghijk)); 33.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3829,1.3805,1.3805,0.0017
"benny_popcnt",1,1.3832,1.3809,1.3806,0.0021
"david_a_perez",1,0.8931,0.8899,0.8902,0.0015
"conflict",1,0.5296,0.5296,0.5296,0.0000
"conflict_mc1b",1,0.5296,0.5295,0.5295,0.0000
"conflict_mc2b",1,1.0572,1.0555,1.0555,0.0008
"conflict_mc3b",1,1.5267,1.5125,1.5122,0.0041
"conflict_mc4b",1,1.9734,1.9653,1.9654,0.0033
"conflict_mc5b",1,2.4606,2.4565,2.4555,0.0045
"conflict_mc6b",1,2.8187,2.8129,2.8120,0.0049
"conflict_mc7b",1,3.1389,3.1327,3.1318,0.0051
"conflict_mc8b",1,3.4217,3.4135,3.4126,0.0072
"conflict_mc9b",1,3.5634,3.5556,3.5548,0.0067
"conflict_mc10b",1,3.7417,3.7324,3.7333,0.0064
"conflict_mc11b",1,3.5269,3.5187,3.5173,0.0064
"conflict_mc12b",1,3.4753,3.4676,3.4677,0.0047

> copy(3M, lit(abcdefghi)); 27.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3828,1.3811,1.3810,0.0018
"benny_popcnt",1,1.3827,1.3809,1.3803,0.0024
"david_a_perez",1,1.8813,1.8773,1.8771,0.0021
"conflict",1,0.8826,0.8825,0.8825,0.0001
"conflict_mc1b",1,0.8825,0.8825,0.8825,0.0001
"conflict_mc2b",1,1.7574,1.7551,1.7550,0.0013
"conflict_mc3b",1,2.5322,2.5179,2.5178,0.0080
"conflict_mc4b",1,3.3406,3.2151,3.2189,0.0211
"conflict_mc5b",1,4.0887,4.0723,4.0736,0.0096
"conflict_mc6b",1,4.6930,4.6855,4.6817,0.0100
"conflict_mc7b",1,5.2262,5.2188,5.2132,0.0127
"conflict_mc8b",1,5.6835,5.6796,5.6681,0.0160
"conflict_mc9b",1,6.0240,6.0163,6.0080,0.0148
