
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
name,threads,best,median,mean,stddev
"benny",1,1.3812,1.3790,1.3788,0.0017
"benny_popcnt",1,1.3800,1.3783,1.3782,0.0010
"david_a_perez",1,20.1247,20.0200,20.0242,0.0373
"conflict",1,2.1212,2.1209,2.1208,0.0003
"conflict_mc1b",1,2.1212,2.1209,2.1209,0.0002
"conflict_mc2b",1,4.2097,4.2065,4.2065,0.0014
"conflict_mc3b",1,6.0993,6.0576,6.0546,0.0223
"conflict_mc4b",1,7.7044,7.6898,7.6905,0.0062
"conflict_mc5b",1,9.4756,9.4543,9.4531,0.0113
"conflict_mc6b",1,11.2505,11.2375,11.2209,0.0323
"conflict_mc7b",1,12.2984,12.2785,12.2693,0.0248
"conflict_mc8b",1,13.2323,13.1694,13.1851,0.0336
"conflict_mc9b",1,13.9456,13.9224,13.9095,0.0314
"conflict_mc10b",1,14.4009,14.3401,14.3462,0.0311
"conflict_mc11b",1,13.7236,13.6845,13.6823,0.0180
"conflict_mc12b",1,13.9731,13.9017,13.9009,0.0256

> copy(10M, lit(abc)); 30.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3803,1.3793,1.3790,0.0010
"benny_popcnt",1,1.3799,1.3786,1.3784,0.0010
"david_a_perez",1,12.8606,12.7496,12.7540,0.0329
"conflict",1,1.9415,1.9412,1.9412,0.0002
"conflict_mc1b",1,1.9415,1.9411,1.9411,0.0003
"conflict_mc2b",1,3.8542,3.8515,3.8517,0.0016
"conflict_mc3b",1,5.5963,5.5464,5.5438,0.0226
"conflict_mc4b",1,7.0577,7.0437,7.0440,0.0042
"conflict_mc5b",1,8.6910,8.6794,8.6807,0.0050
"conflict_mc6b",1,10.3066,10.2961,10.2709,0.0341
"conflict_mc7b",1,11.2895,11.2552,11.2450,0.0264
"conflict_mc8b",1,12.1222,12.1044,12.0934,0.0254
"conflict_mc9b",1,12.7868,12.7540,12.7477,0.0314
"conflict_mc10b",1,13.1908,13.1345,13.1371,0.0234
"conflict_mc11b",1,12.5895,12.5523,12.5516,0.0144
"conflict_mc12b",1,12.7726,12.7227,12.7247,0.0186

> copy(500M, lit(z)); 500.000MB; no windows present
name,threads,best,median,mean,stddev
"load_64B",1,53.7920,53.5892,53.5936,0.0862
"load_64B",2,58.3300,58.0940,58.0885,0.1302
"load_64B",4,58.4339,58.1449,58.1682,0.1138
"load_64B",6,58.1941,57.7328,57.7491,0.1567
"load_64B",8,57.8249,57.6563,57.6585,0.0644
"load_64B",16,57.4891,57.3487,57.3613,0.0529
"loadgather_4Bx16",1,16.8759,16.6996,16.7050,0.0728
"loadgather_4Bx16",2,29.7386,29.2904,29.2088,0.3292
"loadgather_4Bx16",4,49.3897,46.9340,46.7105,1.2613
"loadgather_4Bx16",6,45.1886,39.5032,38.3872,2.5584
"loadgather_4Bx16",8,43.6085,43.0751,42.9880,0.3280
"loadgather_4Bx16",16,42.6896,41.9891,41.9711,0.3411
"loadgather_8Bx8",1,33.2189,32.9782,32.9815,0.1088
"loadgather_8Bx8",2,56.2165,55.0329,52.0055,4.6866
"loadgather_8Bx8",4,48.7779,44.3257,44.2316,2.2651
"loadgather_8Bx8",6,46.9178,44.6934,44.7598,1.2048
"loadgather_8Bx8",8,50.8672,49.6871,49.6676,0.3611
"loadgather_8Bx8",16,52.3869,51.3050,51.1996,0.5642
